Prov/Terr,FSA,Total,Total Income,Income per capita,Net Income,Taxable Income
24,H7R,23170,1031733000,44528.83038,950577000,926432000
24,H7S,6120,234406000,38301.63399,212071000,204335000
24,H7T,19540,818604000,41893.7564,748436000,724579000
24,H7V,18180,549681000,30235.47855,512790000,480593000
24,H7W,33560,1170018000,34863.46841,1081153000,1031837000
24,H7X,20100,1015596000,50527.16418,920466000,899400000
24,H7Y,7230,451235000,62411.47994,405084000,400541000
24,H8N,24100,810207000,33618.54772,752428000,725004000
24,H8P,18090,719138000,39753.34439,659369000,636538000
24,H8R,23020,745987000,32406.03823,692460000,657036000
24,H8S,19040,653153000,34304.2542,603284000,564920000
24,H8T,11620,623383000,53647.41824,560395000,547449000
24,H8Y,14630,561223000,38361.10731,513516000,493660000
24,H8Z,11950,469339000,39275.23013,429141000,415845000
24,H9A,12310,674775000,54815.1909,613644000,589555000
24,H9B,16600,687179000,41396.3253,628959000,607845000
24,H9C,9390,536026000,57084.77103,484650000,475726000
24,H9E,2500,158305000,63322,144560000,139956000
24,H9G,12510,579709000,46339.64828,528188000,514277000
24,H9H,20480,942135000,46002.68555,859200000,833665000
24,H9J,17300,925070000,53472.25434,836953000,819565000
24,H9K,6310,340292000,53929.00158,307120000,301063000
24,H9P,3170,124312000,39215.14196,114371000,111968000
24,H9R,19080,952904000,49942.55765,861754000,844019000
24,H9S,18310,1045607000,57105.78919,949026000,923621000
24,H9W,15070,1230526000,81654.0146,1108505000,1081369000
24,H9X,7540,613735000,81397.21485,558545000,536628000
24,J0A,15300,571231000,37335.35948,526970000,498545000
24,J0B,50960,1949801000,38261.4011,1787446000,1707675000
24,J0C,18360,658332000,35856.86275,611125000,582433000
24,J0E,40180,1651698000,41107.4664,1506760000,1447244000
24,J0G,15570,550206000,35337.57225,506556000,477718000
24,J0H,41830,1574684000,37644.8482,1455747000,1389238000
24,J0J,34080,1291829000,37905.78052,1195377000,1139142000
24,J0K,117060,4028668000,34415.4109,3709446000,3499721000
24,J0L,66910,2627534000,39269.67568,2415146000,2325386000
24,J0M,13440,328583000,24448.13988,311666000,259437000
24,J0N,39360,1642537000,41731.12297,1503374000,1460004000
24,J0P,32130,1544138000,48059.07252,1408270000,1367831000
24,J0R,30340,1553037000,51187.77192,1401778000,1363521000
24,J0S,26570,993678000,37398.49454,915164000,866099000
